experiment_id,sample_id,flow_id,repeat_id,status,candidate_accepted,readability_variables,readability_loops,readability_conditions,readability_logic_flow,readability_structure,readability_overall,readability_variables_rationale,readability_loops_rationale,readability_conditions_rationale,readability_logic_flow_rationale,readability_structure_rationale,readability_summary,readability_rubric_version,readability_source_sha256,readability_evaluated_at,readability_correctness_assessed,evaluator_id,evaluation_method,original_sloc,recovered_sloc,sloc_ratio
experiment_20260821_120308,p00008,B2,0,PASS,True,4,5,5,5,5,4.8,"Variables are few, scoped tightly, mostly clear, though a,b,c,d are minimal digit names.","Nested for loops are conventional, bounded, easy to trace.","Predicates are simple, direct, free of low-level boolean artifacts.","Control flow is linear with no goto, dispatcher, or tangled branches.",Single coherent main function uses standard C structure and clear I/O loop.,Readable conventional C with straightforward structure and minor naming brevity.,source-readability-1-to-5-v1,0a795b4f808b70416dcad173b31607141eb16072eb2db5935e1ca46576ac519c,2026-08-21T06:18:15.450008+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260821_120308,p02474,B2,0,PASS,True,3,4,4,4,4,3.8,"Core names like str1, str2, A, B, C are terse, but roles stay inferable from nearby use.","Loops are simple for-loops with clear indices, though fixed bounds obscure intent in places.","Predicates are readable, with only minor compact boolean use for sign offsets and xor sign output.","Control flow is straight-line, easy to follow, no goto or dispatcher noise.","Single coherent main with conventional arrays and C organization, though global buffers reduce locality.",Readable conventional C with terse naming and some magic bounds.,source-readability-1-to-5-v1,bf0a496cd35a4075a4bddc4b85511bbb4c3ef70e0ec7884742102f4acf3d5f78,2026-08-21T06:18:16.144620+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260821_120308,p03261,F1,0,PASS,True,4,5,5,5,5,4.8,"Variables are simple, scoped tightly, mostly meaningful despite terse names like N and S.",Loops use straightforward for iteration with clear bounds and indices.,"Predicates are direct scanf checks, strcmp equality, length/character checks.","Control flow is linear with simple early returns, no goto or dispatcher noise.","Single coherent main, standard headers, plain arrays, conventional C organization.",Clear conventional C; minor naming terseness only readability weakness.,source-readability-1-to-5-v1,9b9f3f75fc255bc552b7dcd76694fa7f6964d600eed844cad4ce3801ea44fefc,2026-08-21T06:18:16.109737+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260821_120308,p03261,F3,0,PASS,True,4,5,5,5,4,4.6,Names are short but conventional; roles clear; scopes tight; no clutter temporaries.,"Simple for loops express input, duplicate scan, adjacency scan clearly.","Predicates are direct scanf checks, strcmp equality, length/character tests.","Linear flow with early returns; no goto, dispatcher noise, tangled branches.",Single coherent main; simple array storage; conventional C organization.,"Readable conventional C with clear control flow, minor naming brevity.",source-readability-1-to-5-v1,79a44206323d13f0f8988255474a2c16aaa4638a6faaff4cd07100755caf2fbc,2026-08-21T06:18:15.008568+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260821_120308,p03493,F1,0,PASS,True,4,5,4,5,5,4.6,"Variables simple, scoped, roles clear; buf slightly generic.",No loops; straight-line code needs no iteration state.,"Predicates readable, minor repeated null checks add clutter.","Control flow linear, early input guard clear, no goto noise.","Single coherent main, conventional includes, simple C organization.","Readable conventional C with clear straight-line counting logic, minor naming and predicate repetition issues.",source-readability-1-to-5-v1,c0ad40ad9794ccfb03ea0baf060aa208b857fc7e60da2021b58e73750c9c05c4,2026-08-21T06:18:15.300448+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260821_120308,p03773,F1,0,PASS,True,4,5,5,5,5,4.8,Variables minimal scope; names generic but roles obvious.,No loops; no iteration state to obscure reading.,No conditions; expression simple readable.,Straight-line main; no goto or dispatcher noise.,Single coherent function; conventional C organization.,Clear compact C source; only weak point generic variable names.,source-readability-1-to-5-v1,ad499aa33c182b1556946214f939d3f8b4fbe8e17f3e4c12820c2dff0501d092,2026-08-21T06:18:14.796238+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260821_120308,p03773,F3,0,PASS,True,4,5,5,5,5,4.8,Variables `a` and `b` are short but roles are obvious from simple input-use scope.,"No loops present, so no iteration state obscures readability.","No conditions present, so no predicate noise or boolean artifacts appear.","Straight-line `scanf`, `printf`, `return` flow is easy to follow.",Single coherent `main` with standard C organization and no recovery artifacts.,"Clear compact C source, conventional structure, minimal readability friction.",source-readability-1-to-5-v1,7f504925ab7e446e062ba27168076e25fa2dcbe897c33824591f12343fb6f705,2026-08-21T06:18:15.717755+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260821_120308,p03835,B2,0,PASS,True,4,5,5,5,5,4.8,"Names are short but roles are obvious in small scope, with no clutter temporaries beyond k.","Nested for loops are conventional, bounded, easy to follow.",scanf guard and range check are simple readable predicates.,"Straight-line main with early input return, nested loops, print, no goto noise.",Single coherent C function with standard includes and conventional organization.,"Clear compact C source, human-readable despite terse variable names.",source-readability-1-to-5-v1,e86f38cb6244bf5b7bfb26ddab088bd48dec41c6d03a8e561be7fccb031c6ef8,2026-08-21T06:18:14.328328+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260821_120308,p03835,F1,0,PASS,True,4,5,4,5,5,4.6,"Variables minimal, scoped tightly, but names A, B, i, j, count only partly descriptive.","Nested for loops clear, bounds explicit, loop state simple.","Predicates simple, nested checks readable though could combine intent better.","Straight-line input, loops, output; no goto or dispatcher noise.","Single coherent main, standard headers, conventional C organization.","Readable conventional C with simple structure, minor naming weakness.",source-readability-1-to-5-v1,2e44a7d0be5c21064f7b59cb9bd76f016c1c3dfe8df1072830c6b55674b1ab2a,2026-08-21T06:18:18.284638+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
experiment_20260821_120308,p03854,F3,0,PASS,True,4,5,5,5,5,4.8,"Variables are few, scoped clearly, with conventional names though s and dp are terse.",Single forward for loop has clear index state and simple continue skip.,Predicates are direct bounds checks plus memcmp comparisons with readable literals.,"Control flow is linear, branch structure simple, no goto or dispatcher noise.","Program is coherent C with includes, globals, one main, straightforward organization.",Clear conventional C; minor terseness in variable names only.,source-readability-1-to-5-v1,31ac20e5a49a2e65d2fc91305a03aa453438a0096a06d318a77ba21653f6907c,2026-08-21T06:18:18.887184+00:00,False,cx/gpt-5.5,llm_absolute_rubric_1_to_5,,,
