case_id,submission_id,binary,difficulty,evidence,lift,brightening,semantic,semantic_valid_domain,fail_stage,failure_reason
p00035,s591874935,data/obfuscated/p00035/s591874935_fla_bcf_instsub.elf,easy,verified-pass,pass,pass,nonpass,unchecked,semantic,"Semantic fuzzing nonpass (0/1 matches, 1 mismatches): asymmetric crash (F1=crash:s591874935_fla_bcf_instsub_brightened_f1.bin, F2=success:s591874935_fla_bcf_instsub_f2.bin)"
p00056,s237479322,data/obfuscated/p00056/s237479322_fla_bcf_instsub.elf,easy,verified-pass,pass,pass,nonpass,unchecked,semantic,"Semantic fuzzing nonpass (8/9 matches, 1 mismatches): asymmetric crash (F1=success:s237479322_fla_bcf_instsub_brightened_f1.bin, F2=crash:s237479322_fla_bcf_instsub_f2.bin)"
p00100,s475375811,data/obfuscated/p00100/s475375811_fla_bcf_instsub.elf,medium,verified-valid-domain,pass,pass,nonpass,unchecked,semantic,"Semantic fuzzing nonpass (0/1 matches, 1 mismatches): asymmetric crash (F1=crash:s475375811_fla_bcf_instsub_brightened_f1.bin, F2=success:s475375811_fla_bcf_instsub_f2.bin)"
p00111,s236164177,data/obfuscated/p00111/s236164177_fla_bcf_instsub.elf,easy,verified-pass,pass,pass,nonpass,unchecked,semantic,"Semantic fuzzing nonpass (0/1 matches, 1 mismatches): asymmetric crash (F1=crash:s236164177_fla_bcf_instsub_brightened_f1.bin, F2=success:s236164177_fla_bcf_instsub_f2.bin)"
p00142,s634430882,data/obfuscated/p00142/s634430882_fla_bcf_instsub.elf,medium,verified-valid-domain,pass,pass,nonpass,unchecked,semantic,"Semantic fuzzing nonpass (15/16 matches, 1 mismatches): asymmetric crash (F1=success:s634430882_fla_bcf_instsub_brightened_f1.bin, F2=crash:s634430882_fla_bcf_instsub_f2.bin)"
p00187,s092944415,data/obfuscated/p00187/s092944415_fla_bcf_instsub.elf,easy,verified-pass,pass,pass,nonpass,unchecked,semantic,"Semantic fuzzing nonpass (0/1 matches, 1 mismatches): asymmetric crash (F1=crash:s092944415_fla_bcf_instsub_brightened_f1.bin, F2=success:s092944415_fla_bcf_instsub_f2.bin)"
p00200,s958104051,data/obfuscated/p00200/s958104051_fla_bcf_instsub.elf,easy,verified-pass,pass,pass,nonpass,unchecked,semantic,"Semantic fuzzing nonpass (6/7 matches, 1 mismatches): asymmetric crash (F1=success:s958104051_fla_bcf_instsub_brightened_f1.bin, F2=crash:s958104051_fla_bcf_instsub_f2.bin)"
p00212,s286523912,data/obfuscated/p00212/s286523912_fla_bcf_instsub.elf,medium,verified-valid-domain,pass,pass,nonpass,unchecked,semantic,"Semantic fuzzing nonpass (57/60 matches, 1 mismatches): asymmetric crash (F1=success:s286523912_fla_bcf_instsub_brightened_f1.bin, F2=crash:s286523912_fla_bcf_instsub_f2.bin)"
p00225,s166576559,data/obfuscated/p00225/s166576559_fla_bcf_instsub.elf,hard,known-pipeline-risk,pass,pass,unchecked,,semantic,Semantic verification status: unchecked (execution / compilation exception during fuzzing setup)
p00313,s852342213,data/obfuscated/p00313/s852342213_fla_bcf_instsub.elf,easy,screening,pass,pass,nonpass,unchecked,semantic,"Semantic fuzzing nonpass (1/2 matches, 1 mismatches): asymmetric crash (F1=success:s852342213_fla_bcf_instsub_brightened_f1.bin, F2=crash:s852342213_fla_bcf_instsub_f2.bin)"
p00414,s848885429,data/obfuscated/p00414/s848885429_fla_bcf_instsub.elf,medium,screening,pass,pass,nonpass,unchecked,semantic,"Semantic fuzzing nonpass (0/1 matches, 1 mismatches): asymmetric crash (F1=crash:s848885429_fla_bcf_instsub_brightened_f1.bin, F2=success:s848885429_fla_bcf_instsub_f2.bin)"
p00523,s224448187,data/obfuscated/p00523/s224448187_fla_bcf_instsub.elf,easy,screening,pass,pass,nonpass,unchecked,semantic,"Semantic fuzzing nonpass (98/100 matches, 2 mismatches): Stdout stream mismatch"
p00624,s760639333,data/obfuscated/p00624/s760639333_fla_bcf_instsub.elf,easy,screening,pass,fail,not_run,,brightening,Brightening pass failed (LLVM pass error / failed to generate brightened IR)
p00671,s180500470,data/obfuscated/p00671/s180500470_fla_bcf_instsub.elf,easy,screening,pass,pass,unchecked,unchecked,semantic,"Semantic fuzzing nonpass (91/100 matches, 0 mismatches): Equivalence ratio 91.0"
p00672,s657381439,data/obfuscated/p00672/s657381439_fla_bcf_instsub.elf,easy,screening,pass,pass,nonpass,unchecked,semantic,"Semantic fuzzing nonpass (0/1 matches, 1 mismatches): asymmetric crash (F1=crash:s657381439_fla_bcf_instsub_brightened_f1.bin, F2=success:s657381439_fla_bcf_instsub_f2.bin)"
p00640,s212269736,data/obfuscated/p00640/s212269736_fla_bcf_instsub.elf,medium,screening,pass,pass,nonpass,unchecked,semantic,"Semantic fuzzing nonpass (0/1 matches, 1 mismatches): asymmetric crash (F1=crash:s212269736_fla_bcf_instsub_brightened_f1.bin, F2=success:s212269736_fla_bcf_instsub_f2.bin)"
p00818,s818780493,data/obfuscated/p00818/s818780493_fla_bcf_instsub.elf,medium,screening,pass,pass,nonpass,unchecked,semantic,"Semantic fuzzing nonpass (0/1 matches, 1 mismatches): asymmetric crash (F1=crash:s818780493_fla_bcf_instsub_brightened_f1.bin, F2=success:s818780493_fla_bcf_instsub_f2.bin)"
p00924,s930678486,data/obfuscated/p00924/s930678486_fla_bcf_instsub.elf,easy,screening,pass,pass,nonpass,unchecked,semantic,"Semantic fuzzing nonpass (99/100 matches, 1 mismatches): Execution status mismatch: success vs timeout"
p01101,s704189454,data/obfuscated/p01101/s704189454_fla_bcf_instsub.elf,medium,screening,pass,pass,unchecked,,semantic,Semantic verification status: unchecked (execution / compilation exception during fuzzing setup)
p01415,s248769728,data/obfuscated/p01415/s248769728_fla_bcf_instsub.elf,medium,screening,pass,pass,nonpass,unchecked,semantic,"Semantic fuzzing nonpass (7/8 matches, 1 mismatches): asymmetric crash (F1=success:s248769728_fla_bcf_instsub_brightened_f1.bin, F2=crash:s248769728_fla_bcf_instsub_f2.bin)"
p02060,s706882681,data/obfuscated/p02060/s706882681_fla_bcf_instsub.elf,medium,screening,pass,pass,nonpass,unchecked,semantic,"Semantic fuzzing nonpass (17/18 matches, 1 mismatches): asymmetric crash (F1=success:s706882681_fla_bcf_instsub_brightened_f1.bin, F2=crash:s706882681_fla_bcf_instsub_f2.bin)"
p03114,s312521097,data/obfuscated/p03114/s312521097_fla_bcf_instsub.elf,easy,verified-pass,pass,pass,nonpass,unchecked,semantic,"Semantic fuzzing nonpass (0/1 matches, 1 mismatches): asymmetric crash (F1=crash:s312521097_fla_bcf_instsub_brightened_f1.bin, F2=success:s312521097_fla_bcf_instsub_f2.bin)"
